Company,Symbol,JSE code,Sector,Sector inclusion,No code,Drama,Manual,Included
Mainland Real Estate Limited,MLD,JSE:MLD,Real Estate Investment & Services,Yes,Yes,,,
Mara Delta Property Holdings,MDP,JSE:MDP,Real Estate Investment Trusts,Yes,No,,,
Marshall Monteagle Plc,MMP,JSE:MMP,Support Services,Yes,Yes,,,
MAS Real Estate Inc,MSP,JSE:MSP,Real Estate Investment & Services,Yes,Yes,,,
Massmart Holdings Limited,MSM,JSE:MSM,Food & Drug Retailers,Yes,Yes,,,
Master Drilling Group Ltd,MDI,JSE:MDI,Industrial Metals & Mining,No,No,,,
Master Plastics Limited,MAP,JSE:MAP,General Industrials,Yes,Yes,,,
Mazor Group Limited,MZR,JSE:MZR,Construction & Materials,Yes,Yes,,,
Mediclinic International Limited,MEI,JSE:MEI,Health Care Equipment & Services,Yes,Yes,,,
Merafe Resources Limited,MRF,JSE:MRF,Industrial Metals & Mining,No,No,,,
Metair Investments Limited,MTA,JSE:MTA,Automobiles & Parts,Yes,Yes,,,
Metrofile Holdings Limited,MFL,JSE:MFL,Software & Computer Services,Yes,Yes,,,
MICROmega Holdings Limited,MMG,JSE:MMG,Financial Services,Yes,Yes,,,
Middle East Diamond Resources Limited,MED,JSE:MED,Industrial Metals & Mining,No,No,,,
Mine Restoration Investments Ltd,MRI,JSE:MRI,Support Services,Yes,Yes,,,
Miranda Mineral Holdings Limited,MMH,JSE:MMH,Industrial Metals & Mining,No,No,,,
Mix Telematics Limited,MIX,JSE:MIX,Support Services,Yes,Yes,,,
MMI Holdings Limited,MMI,JSE:MMI,Life Insurance,Yes,Yes,,,
Mondi Limited,MND,JSE:MND,Forestry & Paper,Yes,Yes,,,
Mondi Plc,MNP,JSE:MNP,General Industrials,Yes,Yes,,,
Moneyweb Holdings Limited,MNY,JSE:MNY,Software & Computer Services,Yes,Yes,,,
Montauk Holdings Limited,MNK,JSE:MNK,Electricity,Yes,Yes,,,
Mpact Limited,MPT,JSE:MPT,General Industrials,Yes,Yes,,,
Mr Price Group Limited,MRP,JSE:MRP,General Retailers,Yes,Yes,,,
MTN Group Limited,MTN,JSE:MTN,Mobile Telecommunications,Yes,Yes,,,
Murray & Roberts Holdings Limited,MUR.ZA,JSE:MUR.ZA,Construction & Materials,Yes,No,,,
Mustek Limited,MST,JSE:MST,Technology Hardware & Equipment,Yes,Yes,,,
Nampak Limited,NPK,JSE:NPK,General Industrials,Yes,Yes,,,
Naspers Limited,NPN,JSE:NPN,Media,Yes,Yes,,,
Nedbank Group Limited,NED,JSE:NED,Banks,Yes,Yes,,,
Net 1 UEPS Technologies Inc,NT1,JSE:NT1,Technology Hardware & Equipment,Yes,Yes,,,
Netcare Limited,NTC,JSE:NTC,Health Care Equipment & Services,Yes,Yes,,,
New Europe Property Investments Plc,NEP,JSE:NEP,Real Estate Investment & Services,Yes,Yes,,,
New Frontier Properties Limited,NFP,JSE:NFP,Real Estate Investment & Services,Yes,Yes,,,
Newpark REIT Limited,NRL,JSE:NRL,Real Estate Investment Trusts,Yes,Yes,,,
Nictus Beperk,NCS,JSE:NCS,Financial Services,Yes,Yes,,,
Niveus Investments Ltd,NIV,JSE:NIV,Financial Services,Yes,Yes,,,
