Company,Symbol,JSE code,Sector,Sector inclusion,No code,Drama,Manual,Included
Basil Read Holdings Limited,BSR,JSE:BSR,Construction & Materials,Yes,Yes,,,
Bauba Platinum Limited,BAU,JSE:BAU,Mining,No,No,,,
Beige Holdings Limited,BEG,JSE:BEG,Personal Goods,Yes,Yes,,,
Bell Equipment Limited,BEL,JSE:BEL,Industrial Engineering,Yes,Yes,,,
BHP Billiton Plc,BIL,JSE:BIL,Industrial Metals & Mining,No,No,,,
Bid Corp Limited,BID,JSE:BID,Health Care Equipment & Services,Yes,Yes,,,
BK One Limited,BK1P,JSE:BK1P,Financial Services,Yes,Yes,,,
Blue Financial Services Limited,BFS,JSE:BFS,Financial Services,Yes,Yes,,,
Blue Label Telecoms Limited,BLU,JSE:BLU,Support Services,Yes,Yes,,,
Bonatla Property Holdings Limited,BNT,JSE:BNT,Real Estate Investment & Services,Yes,Yes,,,
Bowler Metcalf Limited,BCF,JSE:BCF,Chemicals,Yes,Yes,,,
Brainworks Limited,BWZ,JSE:BWZ,Real Estate Investment & Services,Yes,Yes,,,
Brait SE,BAT,JSE:BAT,Financial Services,Yes,Yes,,,
Brikor Limited,BIK,JSE:BIK,Construction & Materials,Yes,Yes,,,
Brimstone Investment Corporation Ld,BRT,JSE:BRT,Financial Services,Yes,Yes,,,
British American Tobacco Plc,BTI,JSE:BTI,Tobacco,No,No,,,
BSI Steel Limited,BSS,JSE:BSS,Industrial Metals & Mining,No,No,,Discuss,
Buffalo Coal Corp,BUC,JSE:BUC,Mining,No,No,,,
Buildmax Limited,BDM,JSE:BDM,"Oil Equipment, Services & Distribution",No,No,,Yes,
CAFCA Limited,CAC,JSE:CAC,Electronic & Electrical Equipment,Yes,Yes,,,
Calgro M3 Holdings Limited,CGR,JSE:CGR,Real Estate Investment & Services,Yes,Yes,,,
Capevin Holdings Limited,CVH,JSE:CVH,Beverages,Yes,Yes,,,
Capital & Counties Properties Plc,CCO,JSE:CCO,Real Estate Investment & Services,Yes,Yes,,,
Capital & Regional Plc,CRP,JSE:CRP,Real Estate Investment Trusts,Yes,Yes,,,
Capital Appreciation Limited,CTA,JSE:CTA,Financial Services,Yes,Yes,,,
Capitec Bank Holdings Limited,CPI,JSE:CPI,Banks,Yes,Yes,,,
Cargo Carriers Limited,CRG,JSE:CRG,Industrial Transportation,Yes,Yes,,,
Cartrack Holdings Limited,CTK,JSE:CTK,Technology Hardware & Equipment,Yes,Yes,,,
Cashbuild Limited,CSB,JSE:CSB,General Retailers,Yes,Yes,,,
Caxton CTP Publishers & Printers Ltd,CAT,JSE:CAT,Media,Yes,Yes,,,
Central Rand Gold Limited,CRD,JSE:CRD,Mining,No,No,,,
Chemical Specialities Limited,CSP,JSE:CSP,Chemicals,Yes,Yes,,,
Choppies Enterprises Limited,CHP,JSE:CHP,General Retailers,Yes,Yes,,,
Chrometco Limited,CMO,JSE:CMO,Industrial Metals & Mining,No,No,,Discuss,
City Lodge Hotels Limited,CLH,JSE:CLH,Travel & Leisure,Yes,Yes,,,
Clicks Group Limited,CLS,JSE:CLS,Food & Drug Retailers,Yes,Yes,,,
Clientele Limited,CLI,JSE:CLI,Life Insurance,Yes,Yes,,,
Clover Industries Limited,CLR,JSE:CLR,Food Producers,Yes,Yes,,,
Coal Of Africa Limited,CZA,JSE:CZA,Oil & Gas Producers,No,No,,,
Cognition Holdings Limited,CGN,JSE:CGN,Fixed Line Telecommunications,Yes,Yes,,,
Comair Limited,COM,JSE:COM,Travel & Leisure,Yes,Yes,,,
Combined Motor Holdings Limited,CMH,JSE:CMH,General Retailers,Yes,Yes,,,
Command Holdings Limited,CMA,JSE:CMA,General Retailers,Yes,Yes,,,
Compagnie Financiere Richemont SA,CFR,JSE:CFR,Personal Goods,Yes,Yes,,,
Conduit Capital Limited,CND,JSE:CND,Nonlife Insurance,Yes,Yes,,,
Consolidated Infrastructure Group Ltd,CIL,JSE:CIL,Construction & Materials,Yes,Yes,,,
Coronation Fund Managers Limited,CML,JSE:CML,Financial Services,Yes,Yes,,,
Crookes Brothers Limited,CKS,JSE:CKS,Food Producers,Yes,Yes,,,
CSG Holdings Limited,CSG,JSE:CSG,Support Services,Yes,Yes,,,
Cullinan Holdings Limited,CUL,JSE:CUL,Travel & Leisure,Yes,Yes,,,
Curro Holdings Limited,COH,JSE:COH,General Retailers,Yes,Yes,,,
Datacentrix Holdings Limited,DCT,JSE:DCT,Software & Computer Services,Yes,Yes,,,
Datatec Limited,DTC,JSE:DTC,Technology Hardware & Equipment,Yes,Yes,,,
Delrand Resources Limited,DRN,JSE:DRN,Industrial Metals & Mining,No,No,,,
Delta EMD Limited,DTA,JSE:DTA,Electronic & Electrical Equipment,Yes,Yes,,,
Delta Property Fund Limited,DLT,JSE:DLT,Real Estate Investment Trusts,Yes,Yes,,,
Deneb Investments Limited,DNB,JSE:DNB,Financial Services,Yes,Yes,,,
Diamondcorp Plc,DMC,JSE:DMC,Industrial Metals & Mining,No,No,,,
Dipula Income Fund Limited,DIA,JSE:DIA,Real Estate Investment Trusts,Yes,Yes,,,
Dis-Chem Pharmacies,DCP,JSE:DCP,Food & Drug Retailers,Yes,Yes,,,
Discovery Limited,DSY,JSE:DSY,Life Insurance,Yes,Yes,,,
Distell Group Limited,DST,JSE:DST,Beverages,Yes,Yes,,,
Distribution And Warehousing Network Ld,DAW,JSE:DAW,Support Services,Yes,Yes,,,
DRDGOLD Limited,DRD,JSE:DRD,Mining,No,No,,,
E Media Holdings Limited,EMH,JSE:EMH,Personal Goods,Yes,Yes,,,
Eastern Platinum Limited,EPS,JSE:EPS,Industrial Metals & Mining,No,No,,,
Echo Polska Properties,EPP,JSE:EPP,Real Estate Investment & Services,Yes,Yes,,,
Ecsponent Limited,ECS,JSE:ECS,Financial Services,Yes,Yes,,,
Efficient Group Limited,EFG,JSE:EFG,Financial Services,Yes,Yes,,,
ELB Group Limited,ELR,JSE:ELR,Support Services,Yes,Yes,,,
Ellies Holdings Limited,ELI,JSE:ELI,Technology Hardware & Equipment,Yes,Yes,,,
Emira Property Fund Limited,EMI,JSE:EMI,Real Estate Investment Trusts,Yes,Yes,,,
enX Group Limited,ENX,JSE:ENX,Support Services,Yes,Yes,,,
EOH Holdings Limited,EOH,JSE:EOH,Software & Computer Services,Yes,Yes,,,
EPE Capital Partners Limited (Ethos Capital),EPE,JSE:EPE,Financial Services,Yes,Yes,,,
Eqstra Holdings Limited,EQS,JSE:EQS,Support Services,Yes,No,,,
Equites Property Fund Limited,EQU,JSE:EQU,Real Estate Investment Trusts,Yes,Yes,,,
Erin Energy Corporation,ERN,JSE:ERN,Oil & Gas Producers,No,No,,,
Esor Limited,ESR,JSE:ESR,Construction & Materials,Yes,Yes,,,
Masonite (Africa) Limited,MAS,JSE:MAS,Forestry & Paper,Yes,Yes,,,
Evraz Highveld Steel & Vanadium Ltd,EHS,JSE:EHS,Industrial Metals & Mining,No,No,,,
